song_name,first_position,first_credit,second_position,second_credit,third_position,third_credit,fourth_position,fourth_credit
Cobra - Uyir Urugudhey Lyric,Silambarasan TR,male actor,Dhanush,male actor,,,,
Cobra - Tharangini Video,VIKRAM,,Anirudh Ravichander,music director,,,,
Pathu Thala - Raawadi Video,"Sivakarthikeyan, Priyanka Mohan",male and female actor,Vignesh Shivan,music director,,,,
Once Upon A Time Video,Vijay,male actor,Dhanush,male actor,,,,
Don - Bae Video,Anirudh Ravichander,music director,Sivakarthikeyan,male actor,,,,
Master - Kutti Story Video,Sivakarthikeyan,male actor,Miya George,female actor,,,,
Kaathuvaakula Rendu Kaadhal - Dippam Dappam Video,Vijay Sethupathi,male actor,"Sivakarthikeyan, Keerthi Suresh",male and female actor,,,,
Doctor - Chellamma Lyric,"Dhanush, Kajal",male and female actor,Vignesh Shivan,music director,,,,
Kaathuvaakula Rendu Kaadhal - Rendu Kaadhal Music Video,Sivakarthikeyan,male actor,Dhanush,male actor,,,,
Maari - Don’u Don’u Don’u Video,Sivakarthikeyan,male actor,Anirudh Ravichander,music director,,,,
Remo - Senjitaley Video,Anirudh Ravichander,music director,,,,,,
Remo - Tamilselvi Video,"Sivakarthikeyan, Priya",male and female actor,,,,,,
Thangamagan - Enna Solla Video,"Rajinikanth, Trisha",male and female actor,,,,,,
Ethir Neechal - Velicha Poove Video,Sivakarthikeyan,male actor,,,,,,
Petta - Aaha Kalyanam Official Video - Tamil,Suriya,male actor,,,,,,
Remo - Sirikkadhey Tamil Video,"Rajinikanth, Simran",male and female actor,,,,,,
Thaanaa Serndha Koottam - Naana Thaana Tamil Video,Ajith Kumar Kumar,male actor,,,,,,
"Velaikkaran - Iraiva Video l Sivakarthikeyan, Nayanthara l Anirudh",Anirudh Ravichander,music director,,,,,,
Petta - Ilamai Thirumbudhe Official Video (Tamil),Anirudh Ravichander,music director,,,,,,
Vivegam - Kadhalaada Official Song Video,"Dhanush, Shruti",male and female actor,,,,,,
Maan Karate - Darling Dambakku Video,Anirudh Ravichander,music director,,,,,,
Aakko - Enakenna Yaarum Illaye Lyric,Anirudh Ravichander,music director,,,,,,
3 - Nee Paartha Vizhigal Video,"Dhanush, Shruti",male and female actor,,,,,,
Maan Karate - Un Vizhigalil Video,"Sivakarthikeyan, Priya Anand",male and female actor,,,,,,
Maan Karate - Maanja Video,"Sivakarthikeyan, Priya Anand",male and female actor,,,,,,
3 - Idhazhin Oram Video,Sivakarthikeyan,male actor,,,,,,
Ethir Neechal - Nijamellam Video,"Dhanush, Shruti",male and female actor,,,,,,
Vanakkam Chennai - Osaka Osaka Video,"Dhanush, Kajal Agarwal",male and female actor,,,,,,
Ethir Neechal - Boomi Enna Suthudhe Video,Anirudh Ravichander,music director,,,,,,
3 - Why This Kolaveri Di Making Video,Sivakarthikeyan,male actor,,,,,,
Maari - Thappa Dhaan Theriyum Video,Anirudh Ravichander,music director,,,,,,
Thangamagan - Jodi Nilave Video,Anirudh Ravichander,music director,,,,,,
Remo - Meesa Beauty Tamil Video,Anirudh Ravichander,music director,,,,,,
Avalukena - Song Video,Anirudh Ravichander,music director,,,,,,
Thangamagan - Oh Oh Video,Anirudh Ravichander,music director,,,,,,
Maan Karate - Open the Tasmac Video,Anirudh Ravichander,music director,,,,,,
Rum - Kadavulae Vidai Tamil Video,Anirudh Ravichander,music director,,,,,,
Remo - Sirikkadhey Music Video,Anirudh Ravichander,music director,,,,,,
Rum - Alladhe Siragiye Official Tamil Song Video,Anirudh Ravichander,music director,,,,,,
Onnume Aagala - Lyric Video,"Shiva, Priya Anand",male and female actor,,,,,,
